Role,Skills
Data Scientist,"Python SQL Machine Learning Statistics Pandas"
AI Engineer,"Python Deep Learning TensorFlow PyTorch"
Machine Learning Engineer,"Python ML TensorFlow Scikit-Learn"
Cloud Engineer,"AWS Docker Kubernetes Linux"
DevOps Engineer,"Docker Jenkins Linux AWS Git"
Backend Developer,"Java Spring SQL REST API"
Frontend Developer,"HTML CSS JavaScript React"
Full Stack Developer,"JavaScript React NodeJS MongoDB"
Data Analyst,"SQL Excel PowerBI Python"
Cyber Security Analyst,"Networking Linux Security Python"